"","sententChinese","sententGoogleTranslation","sententYandexTranslation","sententbaiduTranslation","areaCode"
"17","开头没看到，不过笑点低具有讽刺的风格，个人比较欣赏最后道歉那段。","Did not see the beginning, but the joke low irony style, personal more appreciate the last apology.","NULL","NULL",70
"18","很好啊 不知道为毛评分这么烂","Very good ah do not know for the hair score so bad","NULL","NULL",70
"19","很高兴又给烂片拉票房了，整场电影我只记住了两对胸和一辆mini paceman","Glad to give rotten film box office, the whole movie I only remember two pairs of chest and a mini paceman","NULL","NULL",70
"20","感觉前面没什么看头，最后一点公益片比较好看。","No sense of worth in front, the last point of charity film looks better.","NULL","NULL",70
"21","感觉最后那段跟这部电影本身没太大关联吧，虽然确实很有教育性意义。。","Feel the last paragraph with the film itself is not much relevance, although it is indeed very educational. .","NULL","NULL",70
"22","我愿和我爱的人看一辈子电影，大烂片也无所谓！","I would like to see my life's movies with people I love, big lousy does not matter!","NULL","NULL",70
"23","我是个温和的人，实在是不忍心给太少的星。。。","I am a gentle person, and I really do not have the heart to give too few stars. . .","NULL","NULL",70
"24","我还是适合俗一点的电影","I still fit the vulgar movie","NULL","NULL",70
"25","所有不好笑的喜剧都是耍流氓！","All funny comedy is playing rogue!","NULL","NULL",70
"26","挺乐呵的，哪有那么烂啊！","Very happy, how so bad!","NULL","NULL",70
"27","挺有讽刺意味的电影 宋丹丹擦脸上的妆的时候我心里挺酸的 最后的道歉挺诚意的 不管你觉得怎么样 我觉得还行 4颗星","Very ironic movie Song Dandan wipe his face makeup when I was very sour last apology very sincere no matter what you think I think it OK 4 stars","NULL","NULL",70
"28","断网了第三次来看，终于看进去了……","Broken the third time, finally looked into the ... ...","NULL","NULL",70
"29","无聊，快要睡着，不过白百合还是挺美的","Boring, almost asleep, but white lily is still pretty","NULL","NULL",70
"30","无聊的拼凑，再次暴露了冯导的缺陷，要表达主题，但是表达手法如同小学生写作文","Boring patchwork, once again exposed Feng's defects, to express the theme, but the expression of style as a pupil writing","NULL","NULL",70
"31","是真的俗 但是损的也真的到位 现实要比电影膈应人的多","Really vulgar but detrimental to the reality of reality than the film diaphragm should be more people","NULL","NULL",70
"32","景美人靓，情节呢，只能是四个字，惨不忍睹！","King beautiful scenery, plot it, only four words, appalling!","NULL","NULL",70
"33","最后的正能量宣传短片出现的真是莫名其妙=_=","The last positive energy video appears really baffling = _ =","NULL","NULL",70
"34","最后的道歉也太突兀了好么 升华主题也得和前面的剧情相关啊！","The last apology is too abrupt So what sublimation theme has to do with the previous plot ah!","NULL","NULL",70
"35","最后道歉段 还是被感动 ....","The last paragraph of apology was touched ....","NULL","NULL",70
"36","歌不错 剧情有些牵强","The song is not a good story some far-fetched","NULL","NULL",70
"37","毕竟艺术注定是一条不被理解的道路。","After all, art is doomed to be an unacceptable road.","NULL","NULL",70
"38","没影评的那么差，第二个故事本来期望能有很劲爆的讽刺效果出来，结果还是很内敛。","No criticism so bad, the second story would have expected the world's most satirical effect, the result is very introverted.","NULL","NULL",70
"39","没有以前的电影好看，另外故事没有主题，后面说教太多","No previous movie look good, the other story has no theme, behind the preaching too much","NULL","NULL",70
"40","没有非诚勿扰1好看，最后的道歉单元还是挺感人的","If you are the one and do not look good, the last of the apology unit is quite touching","NULL","NULL",70
"41","没期待的好看","Did not look good","NULL","NULL",70
"42","炒冷饭，看王朔江郎才尽犹如看到美人迟暮般令人悲叹。","Fried fried rice, see Wang Shuo Jiang Lang just do as if to see the beauty of the twilight as deplorable.","NULL","NULL",70
"43","片子挺烂的，却是个很好的开始","Very fast film, but it is a good start","NULL","NULL",70
"44","王朔的东西还是很深刻的，王朔给一个星剩下的两颗星给所有的好演员","Wang Shuo's thing is still very profound, Wang Shuo give the star the rest of the stars to all the good actors","NULL","NULL",70
"45","甲方乙方2，比网上的差评要好一些","Party B Party 2, worse than the online review better","NULL","NULL",70
"46","相信大部分人还是奔着葛优去的，去看之前看网上一片骂声，也不觉好奇，呵呵，看过之后觉得还好，冷幽默，搞笑，还带那么一点感人的情节，还是值得一看的~","I believe most people are still running Ge You go to see the Internet before a condemning, but also not curious, huh, huh, after reading that okay, cold humor, funny, but also with a little touching plot, or worth a Look ~","NULL","NULL",70
"47","看了就忘的电影，尽管内容有些许新颖，但是感觉的要笑点没笑点，要内容没内容","Read the forgotten movie, although the content of a little novel, but it does not feel like a joke to jokes, no content to the content","NULL","NULL",70
"48","看到这么低的打分我也没想到 我倒觉得还不错 至少题材还算新颖 里面也有很多话值得深思 喜欢看这样的电影 大概我太俗吧。","I saw such a low score I did not think I think pretty good, at least fairly new theme there are many words worth pondering like watching such a movie I am too vulgar about it.","NULL","NULL",70
"49","看过了，也不是那么差劲吧，唯一的败笔在于，布景啥的太上档次，有点假，你必须一遍抽五块钱的烟，喝两块钱的啤酒，一遍谈论二十万的高雅上档次，才有那种嘲讽感。","Read it, is not so bad it, the only flaw is that scenery is too upscale, a bit fake, you have to smoke five dollars a cigarette, drink two dollars of beer, talk about two hundred thousand elegant again Grade, have the kind of irony.","NULL","NULL",70
"50","看过甲方乙方再看这个完全无感，情节也水，好在演员还算喜欢。","A party B read seen this completely senseless, the plot is also water, but fortunately the actor still likes.","NULL","NULL",70
"51","确实不咋地，掉智商哈","Really not good, out of IQ Kazakhstan","NULL","NULL",70
"52","确实糟心啊，毫无诚意","Really bad ah, no sincerity","NULL","NULL",70
"53","笑点太少，创意毫无！","Too little jokes, no creativity!","NULL","NULL",70
"54","第一个故事还挺可爱的，结果特么越拍越离谱","The first story is quite lovely, the results of the more special the more outrageous","NULL","NULL",70
"55","简单粗暴，就是想卖高票房。","Simple and rude, is to sell high box office.","NULL","NULL",70
"56","简直就是，成全自己，恶心别人。","Simply, fulfill oneself, disgust others.","NULL","NULL",70
"57","纯属无聊时候的消磨时间","Purely boring time to kill time","NULL","NULL",70
"58","终于明白华谊兄弟这几天为什么跌的很惨了。","Huayi Brothers finally understand why these days fell miserable.","NULL","NULL",70
"59","结尾很震撼","The end is very shocking","NULL","NULL",70
"60","良心之作，黔驴技穷。","Conscience, Qian donkey skills poor.","NULL","NULL",70
"61","范伟那段不错，王朔黔驴技穷了吧","Fan Wei that period is good, Wang Shuo donkey skills poor it","NULL","NULL",70
"62","觉得就是乱七八糟拼了一起了。","Think it is a mess together.","NULL","NULL",70
"63","觉得立意还是蛮新颖的，就是剧情起伏平淡","Contented or quite novel, that is, the plot ups and downs dull","NULL","NULL",70
"64","这么搞笑的电影竟然评分这么低，就算烂尾了，也不能否认幽默成分吧，冯小刚葛优故事搞得很到位的，人家就是为了娱乐大众，至少我领情","Even such a funny movie score so low, even if the end of the incident, it can not deny the humorous composition of it, Feng Xiaogang Ge You made a good story, and others is to entertain the public, at least I love","NULL","NULL",70
"65","这冷饭炒的极没水准，除了李sir是亮点","This fry fried extremely standard, in addition to Lee sir is a bright spot","NULL","NULL",70
"66","道歉好感动 我也俗一把 做个俗人挺好~~","Apologize so touched I am vulgar vulgar laity ~ ~","NULL","NULL",70
"67","除了剧情和最后的心里话不搭别的都挺好","In addition to the plot and the last words are not good at anything else","NULL","NULL",70
"68","除去那些俗气的所谓一线女星，范伟 李成儒 宋丹丹这样的演员还是无可挑剔的 以及这样的讽刺 为什么让很多自以为的文艺青年差评呢","Remove the tacky so-called first-line actress, Fan Wei Li Chengru Song Dandan such impertinent and such irony why so many self-righteous young artists bad review it","NULL","NULL",70
"69","非常一般，范伟那段拖沓的要命。","Very general, Fan Wei that period of procrastination.","NULL","NULL",70
"70","顶住全场压力，完成首次在影院边看电影边吃周黑鸭卤鸭翅的壮举，只为让平谈无奇的电影观看时间变得稍微有点儿滋有点儿味...","Withstood the pressure of the audience to complete the movie for the first time in the cinema while eating a week-old black duck Luoyang feat, just to let the nonsense movie watch time becomes a little bit nourishing a little taste ...","NULL","NULL",70
"71","今年的春晚还会精彩吗。。","Spring Festival this year will be wonderful it. .","NULL","Will the Spring Festival Gala this year be wonderful.",21
"72","其实嘲讽现实很明显 第二个故事看得要闷笑 最后做圣母教育观众有点突兀 冯导是想说看得懂这片的都是俗人么","In fact, ridicule reality is obviously the second story to be nibbling Finally, the Church of Our Lady of education a bit unexpected Feng guide is to see that this is a piece of vulgar","NULL","In fact, the reality is very obvious taunt second story look to finally do nicker has been Mary education audience Pingdao mean to read this piece of what is vulgar",21
"73","前半段还不错~讽刺的意味很重，最后的道歉有点多余了","The first half is not bad ~ sarcastic means heavy, the last apology a bit redundant","NULL","The first half was good - the irony was very heavy, and the last apology was a little redundant",21
"74","单从最直接的观影感受来说，第一个故事不错，后面越来精神越涣散，最后一个道歉的地方更是没有达到导演的预期效果，心是好的，方式得改","From the most direct viewing experience, the first story is good, the more behind the spirit of the more scattered, the last place of apology is not up to the director's desired effect, the heart is good, the way to change","NULL","From the most direct viewing experience, the first story is good, and the more spiritual and lax it is, the last place of apology is not to achieve the expected effect of director.",21
"75","小幽默，小感动，小创意，但看完之后有点小莫名其妙和小不知所云~","Small humor, a small move, a small idea, but after reading a little baffling and small unknowingly ~","NULL","Small humor, small move, small ideas, but after reading a little small and rather baffling unintelligible.",21
"76","弹棉花的内个段子是多么的小清新，矫情的人现在怎么呢么多。","Cotton inside a segment is how little fresh, hypocritical people now how so much.","NULL","In a piece of cotton is very small fresh, hypocritical people now how much.",21
"77","影片又想搞笑又想感人，可实际是既不会畅快大笑，也不会潸然泪下，只能说看过哭笑不得","The film wants to comedy and think touching, but in fact it is neither a happy laugh, it will not shed tears, can only say that dumbfounded","NULL","Want to want to film funny and touching, but actually is neither fun nor laugh, can only be said to have seen tears trickling down cheeks, laugh and cry",21
"78","总体主题还是可以的，就是笑点一般吧，冷笑话，哈哈，最后雾霾是败笔呀","The overall theme is still possible, it is a joke in general, joke, ha ha, the last smog is a failure","NULL","The overall theme or can, in general it is bursting point, cold joke, ha ha, finally haze is a failure.",21
"79","情节连接牵强 但这种公司有创意","The plot is far-fetched but the company is creative","NULL","The plot is far fetched but the company is creative",21
"80","想法不错，可惜节奏把握的不好","Good idea, but unfortunately the rhythm is not good","NULL","The idea is good, but the rhythm of the rhythm is not good",21
"81","感觉不太连贯，最后的环保宣传虽然出发点挺好的，但感觉很突兀啊，插曲时间都去哪儿了点个赞！","Feeling less coherent, although the starting point of the environmental advocacy is good, but it feels awkward ah, episode time went where a little like!","NULL","The feeling is not very coherent, the final environmental publicity, although the starting point is very good, but the feeling is very abrupt ah, the time of the episode where a little praise!",21
"82","我之所以觉得没那么差劲可能是因为cgv影院效果真的蛮棒的原因以及爆米花好好吃呀~~","The reason why I do not think so bad may be because cgv cinema really good reasons and popcorn delicious ah ~","NULL","I think it's not that bad because the CGv theater is really good and the popcorn is eating well.",21
"83","挺逗挺扯","Pretty funny","NULL","It's very funny.",21
"84","新版甲方乙方，典型的冯氏电影，典型的葛大爷喜剧。","The new version of Party B, a typical Feng film, a typical Ge uncle comedy.","NULL","The new version of Party B, the typical typical Ge uncle Feng's film, comedy.",21
"85","无语的电影","Speechless movie","NULL","A speechless movie",21
"86","段子不够经典，情节不够离奇，感情不够狗血，笑点不够逗，看了像没看","Paragraph not classic enough, the plot is not enough bizarre, not enough blood dog feelings, not enough funny laugh, looked like no look","NULL","Not enough classical piece, the plot is strange, love is not enough to make the idea, bursting point, look like didn't see",21
"87","比较失望，煽情的部分来得太猛，感觉像是只为了推荐一首感人的歌曲，被歌感动了，剧情嘛乱七八糟的。","More disappointed, sensational part came too fierce, feels like just to recommend a touching song, touched by the song, the story is a mess.","NULL","More disappointed, the sentimental part came too hard, feeling like only to recommend a moving song, moved by the song, the plot was in a mess.",21
"88","甲方乙方的续集，就是一部恶俗喜剧，叠加一些人性的东西来寻求大众的共鸣。","Party A's second sequel, is a vulgar comedy, superimposed a number of human things to seek public sympathy.","NULL","Party B is a sequel, vulgar comedy, superposition of human things to seek public sympathy.",21
"89","看了一大半 不忍心再往下看了 烂片能烂成这样也真的出乎意料","Read most of them do not have the heart to read down the rotten film can also become so unexpectedly unexpected","NULL","See a half can not bear to look down the trash can was so rotten really unexpected",21
"90","觉得几个故事比较牵强 最后那段关于保护环境的也觉得很突兀。。","Feel a few more far-fetched story about the last period on the protection of the environment is also very awkward. .","NULL","I think a few stories are far fetched up and the last section about protecting the environment is also very abrupt.",21
"91","除了结尾强加的公益宣传片有点违和，其它还不错","In addition to the end of public service propaganda posted a bit violated, the other not bad","NULL","In addition to public service announcements at the end of a violation and imposed, the other is good",21
"92","2014.12.2晚，消磨时间，平庸之作。","NULL","NULL","2014.12.2 late, kill time, mediocre work.",76
"93","一部贺岁片，能博观众一笑，这钱花的也就算值了","NULL","NULL","A new year's film, the audience can laugh, the money is also worth the value",76
"94","不如干脆拍成电视连续剧","NULL","NULL","It's better to make a TV series",76
"95","不如搞个电视剧啊…………","NULL","NULL","It's better to have a TV play...",76
"96","不如預告片好看","NULL","NULL","It's better to look better than the trailer",76
"97","不算难看··打发时间可以的~~~但是冯小刚葛优的那套，太熟悉了~~没惊喜~还有就是所有的笑料桥段太生硬了·很刻意·~~","NULL","NULL","Not ugly, can pass the time ~ ~ ~ but Feng Xiaogang Ge You's set, too familiar ~ ~ ~ there is no surprise all the jokes are too stiff and plot very deliberately ~ ~",76
"98","为什么今天去看了  觉得还不错   果然咱就是太接地气了  忒恶俗","NULL","NULL","Why today to see a feel good I really is too bad, down to earth.",76
"99","俗啊~还不错","NULL","NULL","Vulgar, not bad",76
"100","关于后面 人的贪婪 这句台词我也猜出了","NULL","NULL","I have guessed the words of the greed of the latter",76
"101","其实这种电影网上看就好了 但不知道影院里为什么很多人 可能是情侣们 姐妹们消遣娱乐的项目吧 真心没有甲方乙方好 或许是为了广电总局的通过 导演把犀利的言辞改了 看完后真心没有碰击心灵 结尾觉的各种牵强似的对环境的担忧 对人类不文明行为的斥责","NULL","NULL","In fact, this movie online watch is good but do not know why a lot of people may be theater lovers and sisters entertainment projects, really no good Party B perhaps to SARFT by the director of the sharp words changed to the environmental concerns after all not really hit the end feel far fetched heart like the behavior of human being civilization rebuke",76
"102","冯氏黑色幽默 第三段故事时间都去哪儿响起的时候真心快哭了 只是最后的附送段太突兀 总感觉导演太过执着于去全力表达自己所想","NULL","NULL","The black humor third story time go where sounded almost crying just as really last too abrupt feel too obsessed with the director to say what they want",76
"103","创意不错，可惜拍烂。","NULL","NULL","The idea is good, but it's bad.",76
"104","创意不错，可惜整体编排很凌乱，宋丹丹那一幕不太喜欢，有些故作煽情，自后那一幕像大自然道歉更是狗尾续貂，格格不入","NULL","NULL","Good idea, but the overall layout is very messy, Song Dandan not love that scene, pretending to be some sensational, since after that scene is like the nature of apology to misfits",76
"105","博大家一乐而已，何必强求太多……","NULL","NULL","A great family is a pleasure, so why do you ask too much...",76
"106","又捧腹又含泪, 不知道为什么评价那么低, 想起了好些年前的甲方乙方和大腕, 最后圆母亲的梦和对山川河流的道歉, 我还是深深感动了, 想家了, 还有想起08年去汶川映秀一路上, 悬崖峭壁, 长江蜿蜒, 绵延到远处的地平线, 感到原来这个国家是这么美丽","NULL","NULL","And laugh and tears, do not know why such a low opinion, think of a few years ago the Party B and the last round of the dream star, mother of mountains and rivers and the apology, I was deeply moved, homesick, and think of 08 years to Wenchuan Yingxiu Road, the Yangtze River meandering stretches, precipitous rock faces and sheer cliffs, far away this country is the original horizon, feel so beautiful",76
"107","唯独宋丹丹那段不错，后面的环保和前3个故事格格不入。。。","NULL","NULL","Only Song Dandan is a good one, the back of the environmental protection and the first 3 stories are incompatible.",76
"108","善良如我也只能给到3星…真的挺莫名其妙的","NULL","NULL","Good as I could only give to 3... It's really indescribable",76
"109","寶貴的兩顆星，一顆給范廚師，一顆給葛大爺。","NULL","NULL","Two precious stars, one for fan chef and one for Grandpa Ge.",76
"110","平心而论，很一般，最后可劲儿的煽情眼泪也下不了，只给两星是因为对冯小刚的期待值太高，失望略大。。。","NULL","NULL","To be honest, very general, finally was sensational tears not only to the stars, because of Feng Xiaogang's expectations too high, slightly disappointed...",76
"111","很期待的一部戏做烂了。","NULL","NULL","A very expected play was rotten.",76
"112","心酸、荒诞、搞笑、豁然开朗","NULL","NULL","Heartache, absurdity, funny, and bright",76
"113","怎么说呢  有些独立的故事比较牵强  整体性不好  幽默性不强  也不连贯","NULL","NULL","How to say something independent of the story is far fetched and the integrity is not good and the humour is not strong and incoherent",76
"114","总体来说就是一个骗钱的情节和骗钱的电影，最后的环保主题，把破坏的环境拍的有一丝凄美，虽然很无厘头和突兀，不过个人觉得是仅有的亮点。","NULL","NULL","In general is a money making scam plot and film, the final environmental theme, the destruction of the environment to shoot a beautiful, although it is nonsensical and awkward, but personally feel is the only bright spot.",76
"115","感觉得出来电影是想表现得深刻一点，但是有点太过刻意了，为了搞笑而搞笑，又不会戳中你内心的笑点，属于那种笑笑就忘了的，为了深刻而深刻，又不会深刻得让观众真正反思，属于那种看看就忘了的…","NULL","NULL","Feel it is to be a great movie, but a little too deliberately, to funny and funny, and not poke your heart bursting point, belong to the kind of smile and forget, for a deep and profound, and will not let the audience really profound reflection, belong to the kind of look you forget the...",76
"116","成全别人，恶心自己，全片充满正能量！","NULL","NULL","For others, it's full of positive energy disgusting itself!",76
"117","我不是大雅之人，我就觉得这俗透的剧情好看，很多地方有共鸣，大赞！","NULL","NULL","I'm not decent, I think this thoroughly vulgar plot good-looking, many places have resonance, praising!",76
"118","打三星是因为它比甲方乙方差远了 甲看完了还有很多桥段值得回味 但私看完了 就完了。。。。。。","NULL","NULL","A Samsung because it is far worse than Party B after a lot of plot and memorable but private reading......",76
"119","挺闹腾的公益片","NULL","NULL","Public service film very noisy",76
"120","教育片 还不错的 别跟我说不好了","NULL","NULL","The education film is not good enough to tell me bad",76
"121","无聊＋莫名其妙","NULL","NULL","Boredom + inexplicable",76
"122","最后一个故事是有感动到，但其他情节比较无聊也拖沓。","NULL","NULL","The last story was touched, but the rest of the plot was boring and procrastinating.",76
"123","最后片尾 有一些积极的东西 其他 就是俗","NULL","NULL","There are some positive things at the end of the end and the other is vulgar",76
"124","最后那段真是无语了，还真印证了那句，水平不够情怀来凑","NULL","NULL","Finally, it is Speechless, it confirms that sentence level is not enough, for the feelings",76
"125","有些地方挺搞笑的，但是故事不连贯，感觉像是拼凑起来的","NULL","NULL","Some places are funny, but the story is incoherent, and it feels like a piece together.",76
"126","朔爷出山，你大爷永远是你大爷","NULL","NULL","Shuo Ye mountains, you will always be your uncle uncle",76
"127","果然是成全自己，恶心别人的大作","NULL","NULL","It is the great work of others.",76
"128","比小时代更烂的大片总算出炉了","NULL","NULL","A much worse blockbuster than the younger generation has come out of the oven.",76
"129","比较喜欢看李小璐扮丑。。","NULL","NULL","I prefer to see Li Xiaolu disguised as a ugliness.",76
"130","比较欣赏里面的冷幽默与自嘲","NULL","NULL","A comparative appreciation of cold humor and self mockery",76
"131","比较沉闷 其实有点似公益宣传文艺片","NULL","NULL","It is rather dull and a bit like public interest propaganda and literature film",76
"132","没平均分那么差 本来贺岁电影就图个轻松嘛","NULL","NULL","It's easy to see a new year's movie without a difference.",76
"133","没有爆笑的桥段，不过总体还是挺欢乐的，宋丹丹那段有被感动到，最后环保那段很突兀很无聊。","NULL","NULL","No funny plot, but the whole is very happy, Song Dandan that has been moved to the end that environmental protection is very abrupt very boring.",76
"134","没觉得像评价那么差 反应现实又温馨感动","NULL","NULL","Do not feel like the evaluation of the bad reaction reality is warm and moved",76
"135","浪费了葛优，不如非诚","NULL","NULL","It's better to waste Ge You than to be honest",76
"136","现在回味起来也没有多么深的印象，流水一样的故事","NULL","NULL","It's not a deep impression on the aftertaste, the story of the water.",76
"137","由网上的段子串联也成只有部分人明了笑点一个人哈哈哈真得好尴尬的喜剧。","NULL","NULL","The Internet joke series has become only some people understand a person ha bursting point Hazhende embarrassment comedy.",76
"138","看一分钟就知道是甲方乙方的复制品 广告带动莫名其妙的俗雅段落 令人看了觉得鸡肋","NULL","NULL","One minute is known to be Party A's replicas of Party B's inexplicable elegance.",76
"139","看下来觉得不错为什么恶评如潮，最后的道歉篇郑恺那段蛮震撼的","NULL","NULL","It looks good why evil is so bad, the last apology, Zheng Kai, is quite shocking.",76
"140","看到演员表里白百合跟李小璐的名字就够了，结果她们真没让人失望，永远是同样的腔调同样的表情，想问你们好意思么？","NULL","NULL","See the cast white lily with Li Xiaolu's name is enough, they really did not disappoint, is always the same tone the same expression, I want to ask you?",76
"141","看的简直莫名其妙啊。。。。","NULL","NULL","It's just so wonderful to see.",76
"142","看着舒畅，就差不多了","NULL","NULL","Looking comfortable, it's almost the same",76
"143","真心一般，除了几句台词较为经典，剧情实在苍白，结尾非要和环保联系在一起，牵强。","NULL","NULL","In general, in addition to a few lines more classic, the plot is really pale, the end is not to be associated with environmental protection, far fetched.",76
"144","真是莫名其妙","NULL","NULL","It is really indescribable",76
"145","真是莫名其妙的，毫无笑点","NULL","NULL","It's so indescribable, without a smile",76
"146","真烂真好看","NULL","NULL","It's really bad.",76
"147","真的是做到了成全自己恶心别人的一方法","NULL","NULL","It's really a way to make yourself sick of others",76
"148","真的是分分钟都看不下去的节奏，直接快进到宋丹丹那一段","NULL","NULL","It's really a minute can't see the rhythm, direct fast into the Song Dandan that section",76
"149","笑得一点都不爽！","NULL","NULL","Laugh a little bit!",76
"150","第一个故事还带着惊喜看了下去，越往后越矫情","NULL","NULL","The first story with a surprise look down, increasingly hypocritical",76
"151","简单牵强拼凑各种段子","NULL","NULL","A simple and implausible patchwork of various sections",76
"152","结尾那段太鸡肋莫名其妙啊！","NULL","NULL","The end of the chicken ribs is so indescribable!",76
"153","节奏啊节奏，以前冯氏电影的节奏一直挺不错啊，从非诚勿扰1开始节奏控制就急转直下，现在这部简直可以快进看了。。。","NULL","NULL","Rhythm rhythm, the rhythm of the film before Feng has been very good, from the beginning of 1 If You Are The One rhythm control is now this could be a sudden turn for the worse, see the fast forward...",76
"154","荒诞有趣","NULL","NULL","Absurd and interesting",76
"155","莫名其妙的喜感","NULL","NULL","An indescribable feeling of joy",76
"156","被人骂的很惨的电影，但我看了觉得还是不错的！","NULL","NULL","It was a terrible movie that was scolded by people, but I thought it was good.",76
"157","觉得没有大家评价的那么差，虽然段子老，广告多，结尾突兀，不过正如冯自己说的，现实批判性9分","NULL","NULL","I feel that no one is so bad, although the paragraph is old, the advertisement is many, the end is abrupt, but as Feng himself said, the real critical 9 points.",76
"158","说的不好听的是 打着贺岁喜剧片的棋子 有着讲大道理的野心 全程没笑 最后一句台词是想说大家是傻子吗","NULL","NULL","What a bad thing to say is that the chess piece with a new year's comedy has a great sense of ambition and the last line is to say that everyone is a fool.",76
"159","贺岁何必搞得什么都要有意义","NULL","NULL","It is meaningful for all to do everything in a new year.",76
"160","超级无敌难看","NULL","NULL","Unbeatable and unbeatable",76
"161","过年了，诚心诚意给全国人民添恶心。","NULL","NULL","For the past year, we are sincere and sincere to the people of the whole country.",76
"162","还是第一版更纯粹，更能打动人，现在这部变味了","NULL","NULL","The first edition is more pure, more persuasive, now it is stale",76
"163","这部电影争议性比较大感觉，全场有哈哈大笑也有纹丝不动的，但是个人觉得随便怎么样都比泰囧强，要说为什么这样比较，泰囧除了现在记得是在泰国拍的，没什么印象，而这片在后面几十分钟让自己感动到沉默的地方","NULL","NULL","This movie is controversial feeling, the audience has laughed there motionless, but personally feel that whatever are embarrassed to say why Beattie, such a comparison, in addition to Thailand embarrassed remember now was shot in Thailand, not what impression, and this piece behind dozens of minutes to move into the silent place",76
"164","除了最后那段道歉有所脱节，其他还挺幽默的。","NULL","NULL","In addition to the last paragraph, the apology was disjointed, and the others were humorous.",76
"165","除了结尾，找不到任何营养呐，虽然有些牵强附会，但是还是忍不住的差评","NULL","NULL","In addition to the end, can not find any nutrition yet, although some far fetched, but still can not help the poor",76
"166","高冷喜剧，和逼格高的一齐看嬉笑怒骂，和逼格低的一起看哈哈哈哈","NULL","NULL","The high cold and high price of comedy, forced all see the subject of ridicule, and forced low together with the ha ha",76
"167","黑得漂亮以及最后的主题突然升华实在有些接受无能…","NULL","NULL","The beauty of the black, and the sudden sublimation of the final theme, is a bit of an incompetence.",76
"168","三个故事没有连贯性也就罢了，最后环保宣传用心是好的，但是很突兀啊。。。","The three stories are not coherent there, finally the intention of environmental advocacy is good, but very awkward ah. . .","Three stories with no coherence to it., the final environmental advocacy intentions are good, but very obtrusive.","The three stories are not consistent, and the end of the environmental publicity is good, but it's abrupt.",17
"169","剧情破碎,故作逼格,陈年老段,植入突兀,不知所云","Plot broken, so forced, old age, implanted abrupt, unintelligible","The plot is broken,so force grid,old section,of the implant obtrusive,unintelligible","The story is broken, pretending to be forced, old, implantation of abrupt, unintelligible",17
"170","剧本不好，梗比较生硬，有点无厘头。","The script is not good, terrier stiffer, a bit nonsense.","The script is bad, stem relatively stiff, a bit does not make sense.","The script is not good, the stem is relatively stiff, a little silly.",17
