"Chinese.origin.data","Google.translated.data","Google.Chinese.sentiment.analysis.score.base.on.Chinese.origin.data.","Google.English.sentiment.analysis.score.base.on.Google.translated.data."
"一颗星给葛优，一颗星给冯小刚，还有一颗星凑合着看吧","A star to Ge You, a star to Feng Xiaogang, there is a star make do with it",-0.600000024,0.699999988
"一颗星给葛大爷，一颗星给甲方乙方","A star to Ge uncle, a star to Party B",-0.600000024,0.800000012
"一颗星给葛大爷，一颗星给范大爷，本想给曾经梦情小璐一颗星(你懂的)，但整片真不值三个星。","A star to Ge Grandpa, a star to Fan uncle, wanted to have a dream Xiaolu a star (you know), but the whole piece really worth three stars.",-0.699999988,0.800000012
"一颗给宋丹丹，一颗给鲜肉郑凯","A Song Dandan, a piece of fresh meat Zheng Kai",-0.600000024,0.800000012
"三个小品，零碎的几十个段子","Three pieces, fragmented dozens of paragraphs",0.699999988,-0.600000024
"三个故事，不咋地，结尾雾霾的起得比较生硬。","Three stories, not good, the haze at the end relatively blunt.",0.699999988,-0.800000012
"三个故事，能看到编剧努力讲道理的身影，但是笑不出来。","Three stories, can see the screenwriter hard to justify the figure, but can not laugh.",0.600000024,-0.600000024
"三个故事只有范伟那段火候把握比较到位，没最后的鸡汤起码7分应该有的~","Only three Fan Wei Wen Wei that period to grasp more in place, no final chicken soup should have at least 7 points ~",0.699999988,-0.600000024
"三个故事没有连贯性也就罢了，最后环保宣传用心是好的，但是很突兀啊。。。","The three stories are not coherent there, finally the intention of environmental advocacy is good, but very awkward ah. . .",0.899999976,-0.899999976
"三个故事还可以，有荒诞，有感动。","Three stories can be, absurd, touched.",0.899999976,-0.600000024
"三分电影，看在冯导的面子上，再减一分，不谢！","One-third movie, look at the face of Feng guide, and then minus a minute, no thanks!",0.600000024,-0.600000024
"三无：无故事 无主题 无聊","Three no: no story without theme boring",0.699999988,-0.600000024
"三段式的电影：讽刺、自嘲、亲情和公益，除了第三段的故事和插曲挺好，其他全是尿点，毫无新意","Three-stage movie: satirical, self-deprecating, affection and public interest, in addition to the third paragraph of the story and episode quite good, the other is full of urine, nothing new",0.800000012,-0.699999988
"不会爱了 真是烂- - 白百合 李小璐 我就不该看","Will not love it is really bad - - Bai Lilu Li Xiaolu I should not see",0.699999988,-0.800000012
"不大喜欢，也看不大明白，，，尤其是里面关于高雅部分，简直是俗不可耐啊！","Do not like, but also do not quite understand, especially inside elegant section, it is vulgar ah!",0.800000012,-0.699999988
"不太能懂在讲些什么 为最后一句 赞！","Do not understand what to say for the last one like!",0.899999976,-0.699999988
"不好看 两星纯粹给生完孩子的美女小璐 身材好 人更美","Not good-looking two stars purely give birth to children's beauty Xiaolu figure good people more beautiful",0.600000024,-0.800000012
"不如 甲方乙方了","Party B is better than a",-0.699999988,0.600000024
"不如再看一遍我的恋爱操作团","Better to read my love operation again",-0.699999988,0.800000012
"不如干脆拍成电视连续剧","Better to simply make a TV series",-0.899999976,0.699999988
"不如搞个电视剧啊…………","Better to make a TV series ............",-0.899999976,0.699999988
"不如甲方乙方远","Party B is better than Party A",-0.699999988,0.699999988
"不如看十几年前的顽主","It is better to see ten years ago, the priest",-0.800000012,0.600000024
"不如看小品","Better to see sketch",-0.600000024,0.600000024
"不完整，情节过于碎片化，不过我喜欢郑恺","Incomplete, the plot is too fragmented, but I like Zheng Kai",0.800000012,-0.899999976
"不对我的胃口，个人感觉无感","Not my appetite, no sense of personal feeling",0.699999988,-0.800000012
"不忍心看","Do not have the heart to see",0.699999988,-0.600000024
"不挺好！","Not good!",0.699999988,-0.699999988
"不明白豆瓣评分为啥这么低 真的觉得挺好的 该讽刺的 该嘲笑的 该感动的 作为一部贺岁片 足够了","Do not understand why the watercress score so low really good, the irony of the ridicule of the touched as a New Year's film enough",0.699999988,-0.699999988
"不明白那么多人在黑这个电影，它确实是一部概括社会风气的电影","Do not understand so many people in the black movie, it is indeed a general social movie",0.699999988,-0.699999988
"不明白那些不善意  个人还是觉得值得三颗星","Do not understand those who are not good or feel worth three stars",0.699999988,-0.600000024
"不是很喜欢，剧情有点牵强。","Not like it, the story a bit far-fetched.",0.600000024,-0.600000024
"不是很好看 不过很讽刺有点深度","Not very good-looking but very ironic a bit deep",0.800000012,-0.800000012
"不是很连贯 最后的道歉有突兀感 可是有意识的传达一种意识还是值得赞赏的意识","Not very coherent last apology have unexpected feeling but consciously convey a sense of awareness or appreciation of consciousness",0.699999988,-0.899999976
"不是特别好笑了 低于期待 但最后几个独白还是不错的【虽然感觉不伦不类吧】","Is not particularly funny below expectations, but the last few monologues or good [although it does not feel right or not]",0.800000012,-0.699999988
"不知道为什么评分这么低，个人觉得电影总体还不错，除了大量植入广告以及各种无厘头颇感无奈外，以演员的口吻说出一些当今现状令人心酸，最后一段毫无逻辑的环保公益广告不知是为了强行走高大上的道路还是怎样，不过也印证了主流思想。","Do not know why the ratings so low, personally think the movie overall is not bad, in addition to a large number of implanted ads and a sense of helplessness, the actor tone to say some of the current situation is sad, the last paragraph of no logic of environmental charity ads I do not know in order to forcibly take the tall road or what, but also confirmed the mainstream thinking.",0.899999976,-0.600000024
"不知道为什么遭到那么多恶评，其实没有那么差，一贯的冯小刚式的借故事讽刺当下的社会现象，可能是因为是由三个相对独立的小故事串联起来的，所以情节性不强，笑点不够自然，犹如近些年的春晚相声小品，主题都是不错的，可就是为了发笑而硬讲些不好笑的笑话，便让人觉得索然无味了。","Do not know why so many bad reviews, in fact, not so bad, the usual Feng Xiaogang borrowed stories satirical the current social phenomenon, probably because it is composed of three relatively independent stories in series, so the plot is not strong, Joking is not enough natural, as in recent years, Spring Festival Evening comic skit, the theme is good, but just to laugh but not funny joke, it makes people feel boring.",0.699999988,-0.699999988
"不知道为什么那么多人都给很低的评分，可能我没那么高的品味看不出那么多缺陷，个人觉得片子看下来不错，内容紧扣实事轻松幽默，都是实力派演员不管情节发展到什么阶段都表演的很自然不别扭，那么高的票房也确实冲着好看去的，推荐","I do not know why so many people give a very low score, I may not have such a high taste can not see so many defects, personally think the film looks good, the content closely linked to the fact easy and humorous, are the strength to send actors regardless of the plot to What stage are performing very naturally awkward, so high at the box office is indeed directed at the good, recommended",0.899999976,-0.600000024
"不知道最后的装逼是为了什么，致青春吗","Do not know what is the last loaded force, to youth?",0.600000024,-0.699999988
"不算好片，但至少博君一笑，针砭时事，不至于烂到5.5分","Not a good film, but at least Bo Jun smile, stitch current affairs, not rotten to 5.5 points",0.699999988,-0.800000012
"不装逼还是可以看的","Do not install force or you can see",0.600000024,-0.600000024
"不觉得烂，逗乐里各种讽刺真过瘾","Do not think bad, amused in a variety of satirical really enjoyable",-0.600000024,0.899999976
"不负期待，虽然感觉少了那么一点点儿劲儿。","No negative expectations, though less feeling so little effort.",-0.699999988,0.800000012
"不过瘾","Not fun",0.600000024,-0.800000012
"与以往冯小刚作品相比 不算好看 感觉看了三个小品 范伟的笑料多 第二个觉得跟其他两个风格不同 宋丹丹倒是觉得有感人的地方 结尾突然是道歉有点突兀","Compared with the previous Feng Xiaogang's work is not good-looking feeling Read three pieces of Fan Wei's jokes Second think with the other two styles are different Song Dandan touches the end of the touching place suddenly apologize a bit unexpected",0.800000012,-0.699999988
"两星都给葛大爷","Both stars give Grandpa Ge",-0.600000024,0.600000024
"两颗星都给演员，全当献爱心了就。","Both stars give the actor all the time to offer their love.",-0.899999976,0.699999988
"个人意见，如果想看的同学们可以去买各种打折团购之类的票，因为真心不值票价","Personal opinion, if you want to see the students can buy all kinds of discount buy tickets, because the true worthless fare",0.800000012,-0.800000012
"个人认为这是冯小刚最差的一部电影！","Personally think that this is the worst movie Feng Xiaogang!",0.699999988,-0.899999976
"中间确实无聊得很，但是结尾不赖","The middle is really boring very, but the end is not bad",0.800000012,-0.600000024
"为了打2星特地坚持把电影看完，我真是业界良心","In order to play 2 stars specially insisted watching the movie, I really is the industry conscience",0.899999976,-0.600000024
"为了葛大爷和郑恺，多给一颗星。","To Ge uncle and Zheng Kai, give a star.",-0.600000024,0.699999988
"为什么分这么低………看完我还觉得冯小刚蛮萌的啊，说教直白的近乎矫情，但是我蛮惊喜的","Why points so low ......... After reading I still think Feng Xiaogang pretty Meng ah, preaching almost hypocritical hypocrite, but I quite a surprise",0.899999976,-0.600000024
"为我看了这部电影而感到深深的懊恼","I was deeply annoyed when I read the movie",0.600000024,-0.899999976
"为苏州风光片加一颗星","Add a star for Suzhou scenery",-0.699999988,0.699999988
"为葛优的黑色幽默点个赞，剧情勉强。","Ge Ge black humor like a little, plot barely.",0.800000012,-0.699999988
"为葛优而去看的，看完了已有一个感想，终于有比四大名捕更恶心人的电影了，真是满足小刚恶心观众的典范啊","To Ge You go to see, after reading the impression that there has finally been more disgruntled than the movie's four movies, and really meet Xiaogang disgusting audience model ah",0.699999988,-0.699999988
"为贪污腐败和商业大俗片辩护的一部元素太多深度太浅的电影。","An element too deep and too shallow to justify corruption and commercial tyranny.",0.800000012,-0.800000012
"主角们的人物性格和关注度显然不足，最让我惊讶的是，整部影片最让我动容的是对自然的忏悔！","Character and attention of the protagonists are clearly insufficient, the most surprising to me is that the whole movie I am most touched is the natural confession!",0.600000024,-0.899999976
"乍一看是盛宴 仔细一看是卤煮 尝一口 没搁盐 回味就免了吧。。。。","At first glance, the feast is a careful look at the brine cooked taste did not rest on the salt free it. . . .",0.899999976,-0.600000024
"乐子还是有的，但不怎么像电影","Music is still there, but not very much like a movie",0.600000024,-0.699999988
"也就是还行，多亏了葛优、范伟、宋丹丹几个好演员撑着，王朔也江郎才尽了吗","That is okay, thanks to Ge You, Fan Wei, Song Dandan a few good performers hold, Wang Shuo Jiang also done it",-0.600000024,0.800000012
"也没i有那么不堪吧~还成嘛。","I have not been so bad it ~ also become a good thing.",-0.699999988,0.699999988
"也许是期待太高，所以感觉不尽如人意。充斥着讽刺，笑点没那么有趣了。","May be too high expectations, so I feel unsatisfactory. Full of irony, not so funny.",0.800000012,-0.600000024
"亮点不够多，三个故事之间有衔接会更好～","Not enough highlights, there will be a better link between the three stories ~",0.800000012,-0.800000012
"今天刚刚看过，不像他们说的那么烂，阐明的道理还是深刻的，用这种方式讲出来，让人容易接受。","It has just been read today that it is not as bad as what they say and the truth clarified is still profound. It is easy to accept in this way.",-0.600000024,0.699999988
"今天才看，对于外界的褒贬言论，我不予评价，很客观的讲，说真的，哥们儿就喜欢俗。","Today's look, for the outside world's praise and criticism, I will not comment, it is objective to say, really, buddy children like vulgar.",0.600000024,-0.600000024
"今天看的 差点睡着 本来想看无人区的 结果没看成  后悔呀 笑点就几个 最后突然呼吁环保 觉得特别跳戏","Today, I almost fell asleep looking at the results had no intention to see no regret ah laughter on the last few of a sudden call for environmental protection that special dance play",-0.800000012,0.600000024
"今年的春晚还会精彩吗。。","Spring Festival this year will be wonderful it. .",-0.800000012,0.899999976
"今年看的烂片也是挺多的","Looked at this year's bad film is quite Ting",0.699999988,-0.600000024
"今晚才在家里看了这部电影 感觉不到两个小时的电影 导演想呈现的事情实在是太多太多了 里面我看到太多的影子 可是由于时间的原因 好像有点粗线的感觉 很多地方 估计大众没看明白吧 这片看着我 倒是有点感触的 也想到很多的事情 怎么说呢 感觉就是难为导演了","Tonight at home watching the movie did not feel less than two hours of movie directors want to present things is too much too much inside I see too many shadows but because of the time reasons seem a little thick sense of a lot Local estimates of the public did not understand it look at me this is a bit touched but also think of many things how to say it is difficult for the director",0.800000012,-0.600000024
"从头睡到尾，话说在影院睡觉真的很香呢","Sleep from the beginning to the end of the story, really sleep in the theater so sweet it",-0.699999988,0.800000012
"从我看冯的电影开始，觉得是比较平庸的一部","From my point of view of Feng's movie, I think it is a more mediocre one",0.800000012,-0.600000024
"从来不在豆瓣给电影评星级，但是这次实在是忍不住了。。。","Never give a movie star rating for the movie, but this time it can not help it. . .",0.600000024,-0.800000012
"以为真有马拉马尔，原来就是那么一点点海拉尔，我笑点总是很低的。","I think there are Malamal, the original is a little Hailar, I always have a very low point of laughter.",-0.600000024,0.600000024
"以前看了，好像评论了，可惜没记录了。绝对意义上的烂片！","Looked before, seems to comment, but unfortunately did not record. Absolutely bad film!",0.699999988,-0.600000024
"估计被骂不好的原因是前面太装后面太作，但我确实笑了很多次，我是俗人","Estimated to be curse is not good because the front is too over the back of the installation, but I did laugh many times, I am a layman",0.600000024,-0.800000012
"作为一个俗人，我觉着这电影还行啊，看到里面有很多的感悟，范伟、宋丹丹这些老戏骨都演得不错，也许这电影就是大导给群众的发泄口PS一开始对这阵容没兴趣，所以没去电影院看","As a layman, I think this movie is also OK, see there are many insights, Fan Wei, Song Dandan these old plays have performed well, maybe this movie is a big guide to the masses vent PS at the beginning of this No interest in the lineup, so did not go to the cinema to see",0.600000024,-0.800000012
"作为一个名导，好意思拍这种烂片，不要怪网友骂你。","As a leader, so embarrassed to shoot this rotten film, do not blame users blamed you.",0.699999988,-0.699999988
"作为一部段子集电影还是比较有料的，主线没串起来算是一个遗憾，不过本来也就没有串起来的期待。","As a sub-set of movies or more material, the main line is not a string together is a pity, but there would have been no string together expectations.",0.800000012,-0.600000024
"作为电影,真心很一般","As a movie, really sincere",-0.699999988,0.800000012
"你们太想传递正能量了，一下子接不住","You too want to pass positive energy, and suddenly could not hold",0.899999976,-0.699999988
"依旧不喜欢白百何，而且环保公益广告来得有点突兀。","Still do not like Bai Bai Ho, and environmental protection public service ads come a bit abrupt.",0.699999988,-0.699999988
"俗，好看","Vulgar, good-looking",0.699999988,-0.600000024
"俗；甲方乙方；最后剧情是硬拉生凑的吧","Vulgar; Party A Party B; the final plot is hard-drawn Health it",0.699999988,-0.800000012
"俗人拍俗片，不过俗到我心窝子里了","Slapters make slang, but vulgar to my heart in the nest",0.699999988,-0.600000024
"做作的很，毫无幽默可言，江郎才尽的赶脚。。。","Very contrived, there is no humor at all, Jiang Lang just do the best to catch up. . .",0.800000012,-0.699999988
"光看剧情简介就赶脚是甲方乙方的呕出来再咽下去了......","Just look at the story of the plot to catch up is that Party A vomit out and then swallowed ...",0.600000024,-0.800000012
"全片拼凑的痕迹太明显，幽默的效果主要借助场景来体现，感觉锤炼不够啊，主题升华得也有些生硬，及格分吧。","The patchwork of traces of the film is too obvious, the effect of humor mainly through the scene to reflect the feeling of training is not enough ah, the subject sublimation too blunt, passing it.",0.899999976,-0.699999988
"全片靠段子撑起 观众代入感不强 感觉看了一相声专场  说教痕迹也过重","The whole film propped up by the audience into the sense of substandard feeling read a comic session preaching marks too heavy",0.699999988,-0.899999976
"全篇看下来只有在时间都去哪儿了响起的时候有点感动，小刚老了","The whole story looked down only where time went to a little touched, Xiao Gang was old",0.600000024,-0.600000024
"公道说一声，真不好看。","Fair to say, really look good.",-0.600000024,0.800000012
"关于后面 人的贪婪 这句台词我也猜出了","I also guessed the lines on greed behind",0.800000012,-0.699999988
"其实不知道想表达什么，最后一轮说教太突兀了","In fact, do not know what to say, the last round of preaching is too abrupt",0.699999988,-0.899999976
"其实也算挺牛的了~笑了，笑了之后心里有点儿不是味儿","In fact, considered quite a cow ~ and laughed, after a little laugh is not the taste of my heart",0.800000012,-0.699999988
"其实冯小刚没变，冯导电影中那份暖也没变，只是老百姓变了，人们已经不满足于蓝色白云的单纯的快乐，其实最容易被人忽视的往往是这些最简单最原始的暖。","In fact, Feng Xiaogang has not changed, Feng guide film that share has not changed, but people have changed, people are not satisfied with the pure pleasure of blue clouds, in fact, the most easily overlooked is often the most simple and primitive .",0.600000024,-0.800000012
"其实可以不用到电影院观赏...","In fact, you can not watch in the cinema ...",0.600000024,-0.600000024
"其实嘲讽现实很明显 第二个故事看得要闷笑 最后做圣母教育观众有点突兀 冯导是想说看得懂这片的都是俗人么","In fact, ridicule reality is obviously the second story to be nibbling Finally, the Church of Our Lady of education a bit unexpected Feng guide is to see that this is a piece of vulgar",0.800000012,-0.800000012
"其实如果单看宋丹丹故事前面的部分，我不会觉得这是个烂片。","In fact, if you look at the front part of Song Dandan story, I will not think this is a rotten film.",0.699999988,-0.899999976
"其实我不想打这么高分的，在我眼里7.0-7.5算是合适的分数，只不过看到现在的豆瓣评分太缺乏真实性了，这部电影还是有笑点，有想法，有些许感动，觉不至于这么低分","In fact, I do not want to play such a high score, in my opinion 7.0-7.5 be considered a suitable score, but to see the current watercress score is too lacking in authenticity, the film is still funny, have ideas, a little touched, Feel so low score",0.800000012,-0.800000012
"其实永远都有一个排名，葛优演的最差的片子，不知道以后是否还想挑战极限，好的电影有时候一个演员就够了","In fact, there is always a ranking, Ge You play the worst film, do not know if you still want to challenge the limit, a good movie sometimes an actor is enough",0.699999988,-0.800000012
"其实没有网上评论的那么差，笑笑蛮好，看过忘了也不错","In fact, there is no online commentary so poor, smiling just fine, read too forgotten",0.699999988,-0.899999976
"其实没有网上说的那样不堪，虽然最后一段关于环保的和全片格格不入，但介于西安最近天天爆表的雾霾，还是挺有感觉的……","In fact, there is no online that as unbearable, although the last paragraph of the environmental protection and the whole piece is out of tune, but between the recent smog in Xian burst the table every day, still quite feeling ......",0.800000012,-0.699999988
"其实没有那么差，只是大家的期望值比较高，超越总是那么难，因为岁月冲走了太多东西，冯导的自嘲之作而已。。。","In fact, not so bad, but everyone's expectations are higher than always so difficult, because the years washed away too much, Feng guide self-deprecating only. . .",0.600000024,-0.600000024
"其实片子没你们说的那么难看，只是冯小刚想表达的东西太多了，反正看着还算开心","In fact, the film did not you say so ugly, but Feng Xiaogang want to express too many things, anyway, looking pretty happy",-0.800000012,0.800000012
"其实电影没有风评那么差，虽然本质上更像是一部加长版的小品，不过中间有些故事的细节蛮有意思的，只是整体太正面向，以及最后的道歉过于掉胃口了","In fact, the film is not so poor evaluation of wind, although in essence more like an extended version of the sketch, but some of the details of the middle of the story is quite interesting, but overall too positive, and the final apology too off",0.899999976,-0.699999988
"其实电影的前一半还不错，欢乐又有内涵，后来越编越无味，最后的道歉部分使得电影完全脱节，极为生硬突兀。","In fact, the first half of the movie is not bad, joy and content, then the more editable and less tasteless, the final part of the apology made the movie completely out of touch, very abrupt.",0.800000012,-0.800000012
"其实立意挺好的，就是没有一点笑果","In fact, very good intentions, that is, no laughing matter",0.699999988,-0.699999988
"其实第一个故事还行   结尾太烂","In fact, the end of the first story is too bad",0.600000024,-0.699999988
"其实还不错，冯导的黑色幽默挺有英式荒诞的感觉的，就是批判讽刺多了点，不能抱着贺岁喜剧的心态看。","In fact, not bad, Feng guide black humor quite English absurd feeling, that is, a more critical irony, can not hold the New Year's comedy mentality to see.",0.800000012,-0.600000024
"其实还不错唉，可能是因为烂片太多，所以难得有点构思巧的也还好了～","In fact, not bad alas, probably because of too many rotten films, so rare little clever design is also okay ~",0.800000012,-0.600000024
"其实还是有些反思的，作为喜剧倒有点不够格。","In fact, there are still some reflections, as a comedy down a bit not qualified.",0.600000024,-0.600000024
"其实这种电影网上看就好了 但不知道影院里为什么很多人 可能是情侣们 姐妹们消遣娱乐的项目吧 真心没有甲方乙方好 或许是为了广电总局的通过 导演把犀利的言辞改了 看完后真心没有碰击心灵 结尾觉的各种牵强似的对环境的担忧 对人类不文明行为的斥责","In fact, this movie online look just fine, but do not know why many people in the theater may be lovers and sisters recreational entertainment project it really did not have a good party B or may be for the SARFT director sharp speech changed read Really did not hit the end of the mind feel a lot of forced to worry about the environment on the uncivilized behavior of human reproach",0.800000012,-0.699999988
"其实这部电影挺有趣的，我只是受不了冯小刚那种自大的态度","In fact, this movie is very interesting, I just can not stand Feng Xiaogang arrogant attitude",0.800000012,-0.899999976
"内容丰富 但是串联的不是太好 .主旨很好 但是表达的时候鸟层次不好","The content is rich but the series is not very good. The subject is good but the bird level is not good when expressed",0.600000024,-0.600000024
"内容比较乱，最后道歉一节比较累赘","The content is chaotic, the last section of apology more cumbersome",0.699999988,-0.699999988
"再说一次 久久看过一点都记不起来的 要么是喜剧笑笑就忘了，要么就是一般，很一般的那种一般","Once again I have seen a long time can not remember either comedy smile forgot, or is the general, very general kind",-0.800000012,0.699999988
"冯导，艺术说他不带儿您玩儿了，您出门左转走好四娘在门口接你呢不送了啊","Feng guide, the art says he does not take you to play with you, you go out left to take a good four Mother picks you at the door does not send",0.699999988,-0.600000024
"冯导之前的那种搞笑感觉好像只存在一点点了，反正整部剧都很奇葩啊","The kind of funny feeling before Feng guide seems to exist only a little, anyway, the whole drama is very wonderful ah",-0.600000024,0.800000012
"冯导也爱炒冷饭，关键是炒得还远不到位","Feng guide also love fried rice, the key is speculation is far from ready",-0.699999988,0.899999976
"冯导你老了 跟老谋子一样喜欢砸钱喜欢矫情了 里面最俗奖是给自己的吧","Feng guide you old like the same old man like throwing money like hypocrites inside the most vulgar prize is for yourself",0.800000012,-0.899999976
"冯导在呈出春晚大菜之前也不忘捞上一把 他甚至国人观影心态的奇葩 也知道葛大爷在贺岁档的影响力 更知道冯式幽默的号召力 这部电影就像一个大广告 从头到尾不知所云 从创意到包袱都毫无新意 最后生硬的环保牌打的我一脸翔 也许冯导有他的忧伤 我们不懂罢了","Feng guide before showing Spring Festival dishes also did not forget to take a catch on him or even the spectacle of the wonderful attitude of people watching Ge uncle Ge Lunar New Year file more aware of the appeal of von Humor This film is like a big ad from scratch To the end I do not know everything from the creative to the burden of nothing new last green card hit my face Xiang perhaps Feng guide his sad we do not understand Bale",-0.600000024,0.600000024
"冯导想法太多了，逻辑太差了，感情没地儿搁了，太喜欢北京话了…因为葛大爷的戏份给2星吧，而且之前看了太多恶评有足够的心理准备，很容易接受…","Feng guide too much, logic is too poor, feeling no place to put aside, too fond of Beijing dialect ... because Ge grandfather's role to 2 stars, and read too many bad comments before there is enough mental preparation, it is Easy to accept ...",0.800000012,-0.699999988
"冯导想通过这个讲很多道理，可惜站在电影的角度它真的很烂","Feng guide through this a lot of truth, but it is a pity to stand in the movie point of view it is really bad",0.699999988,-0.699999988
"冯导我知道您是想站着把钱给赚了，只是，您有点儿没站稳。","Feng guide I know you want to stand to make money, but you did not stand a bit.",0.699999988,-0.600000024
"冯导有失水准的贺岁片，烂片程度媲美老谋子的三枪","Feng guide loss of the New Year film, the degree of rotten film comparable to the old gun three guns",0.699999988,-0.600000024
"冯导有点儿江郎才尽的意味了，段子的连接毫无用心之处，就像看三个连起来的小品。","Feng guide a little Jiang Lang just do mean, the section of the connection no place of intentions, just like to see the three pieces together.",0.800000012,-0.600000024
"冯导电影里目前来说最差的我擦！！！","Feng guide film for the worst moment I rub! ! !",0.600000024,-0.899999976
"冯导的剧 期望值高 所以成片略失望 只记住了歌曲 时间都去哪了","Feng Zhi's high expectations of the drama so into a little disappointed only remember the song where time went",-0.699999988,0.600000024
"冯导的每一部影片我都是在影院去看的，很给他老人家面子了。可惜这部实在是太没故事情节了，实在有些差强人意。","Every film I guide is seen in the theater, giving the elderly his face. It is a pity that this is too untrue. It is really unsatisfactory.",0.600000024,-0.600000024
"冯导的电影是非真多，对时事的讽刺还是到位的，就是形式太像小品","Feng's film is not true, the irony of the current events or in place, is the form is too sketchy",0.899999976,-0.800000012
